question,option1,option2,option3,option4,answer,category
"Who directed 'Dangal'?",Nitesh Tiwari,Aamir Khan,Rajkumar Hirani,Ashutosh Gowariker,Nitesh Tiwari,Bollywood
"Which bowler has taken the most wickets in IPL?",Lasith Malinga,Amit Mishra,Piyush Chawla,Harbhajan Singh,Lasith Malinga,Cricket
"In which movie did Akshay Kumar play a boxer?",Bhaag Milkha Bhaag,Sultan,Dangal,None of these,None of these,Bollywood
"What is the term for a ball that passes the batsman without touching the bat or body?",Bye,Leg bye,Wide,No ball,Bye,Cricket
"Which actress played the lead role in 'Pink'?",Tabu,Kirti Kulhari,Andrea Tariang,All of the above,All of the above,Bollywood
"Who holds the record for highest partnership in Test cricket?",Kumar Sangakkara & Mahela Jayawardene,Rahul Dravid & VVS Laxman,Andrew Jones & Martin Crowe,Mahela Jayawardene & Thilan Samaraweera,Kumar Sangakkara & Mahela Jayawardene,Cricket
"Which film featured the song 'Jai Ho'?",Slumdog Millionaire,127 Hours,Life of Pi,The Jungle Book,Slumdog Millionaire,Bollywood
"In which year did India play their first T20 International?",2006,2007,2008,2009,2006,Cricket
"Who played the role of Mary Kom in the biopic?",Priyanka Chopra,Deepika Padukone,Kangana Ranaut,Alia Bhatt,Priyanka Chopra,Bollywood
"What is the maximum number of bouncers allowed per over in ODI?",1,2,3,4,2,Cricket
"Which film is based on the 26/11 Mumbai attacks?",Hotel Mumbai,The Attacks of 26/11,Mumbai Meri Jaan,Black Friday,The Attacks of 26/11,Bollywood
"Who was the youngest player to debut for India in Test cricket recently?",Washington Sundar,Mohammed Siraj,Prithvi Shaw,Shubman Gill,Prithvi Shaw,Cricket
"In which movie did Ranbir Kapoor play a deaf and mute character?",Barfi,Rockstar,Tamasha,Sanju,Barfi,Bollywood
"What is the term for the area behind the wicket-keeper?",Slips,Fine leg,Third man,Long stop,Slips,Cricket
"Which actress made her comeback with 'English Vinglish'?",Sridevi,Madhuri Dixit,Juhi Chawla,Karisma Kapoor,Sridevi,Bollywood
"Who has hit the most sixes in IPL history?",Chris Gayle,MS Dhoni,AB de Villiers,Rohit Sharma,Chris Gayle,Cricket
"In which movie did Deepika Padukone play Mastani?",Bajirao Mastani,Padmaavat,Ram-Leela,Yeh Jawaani Hai Deewani,Bajirao Mastani,Bollywood
"What is the Duck worth Lewis method used for?",Rain delays,Bad light,Pitch conditions,Player injuries,Rain delays,Cricket
"Who composed music for 'Rockstar'?",A.R. Rahman,Ilaiyaraaja,Shankar-Ehsaan-Loy,Amit Trivedi,A.R. Rahman,Bollywood
"Which Indian cricketer has the most Man of the Match awards in ODIs?",Sachin Tendulkar,MS Dhoni,Virat Kohli,Rohit Sharma,Sachin Tendulkar,Cricket
"In which movie did Alia Bhatt make her debut?",Student of the Year,Highway,2 States,Humpty Sharma Ki Dulhania,Student of the Year,Bollywood
"What is the maximum number of fielders allowed on the leg side?",4,5,6,7,5,Cricket
"Which film won the National Film Award for Best Popular Film in 2018?",Baahubali 2,Dangal,Hindi Medium,Toilet: Ek Prem Katha,Baahubali 2,Bollywood
"Who was the first Indian cricketer to score 5000 runs in ODIs?",Kapil Dev,Sunil Gavaskar,Mohammed Azharuddin,Dilip Vengsarkar,Kapil Dev,Cricket
"Which actor played the role of Milkha Singh?",Farhan Akhtar,Ranveer Singh,Hrithik Roshan,John Abraham,Farhan Akhtar,Bollywood
"In cricket, what is a 'googly'?",A type of spin bowl,A fast ball,A slow ball,A bouncer,A type of spin bowl,Cricket
"Who sang 'Tujhe Dekha To Yeh Jaana Sanam'?",Kumar Sanu,Udit Narayan,Abhijeet,Sonu Nigam,Kumar Sanu,Bollywood
"Which cricketer is known as 'Dada'?",Sourav Ganguly,Rahul Dravid,VVS Laxman,Anil Kumble,Sourav Ganguly,Cricket
"In which movie did Ranveer Singh play Alauddin Khilji?",Padmaavat,Bajirao Mastani,Ram-Leela,Gully Boy,Padmaavat,Bollywood
"What is the term for a delivery that swings in the air?",Swing bowling,Seam bowling,Spin bowling,Fast bowling,Swing bowling,Cricket
"Which film featured the song 'Munni Badnaam Hui'?",Dabangg,Ready,Bodyguard,Kick,Dabangg,Bollywood
"Who holds the record for most catches in IPL by a fielder?",Suresh Raina,Kieron Pollard,AB de Villiers,David Miller,Suresh Raina,Cricket
"Which actress played the role of a journalist in 'No One Killed Jessica'?",Rani Mukerji,Vidya Balan,Both A and B,Neither A nor B,Both A and B,Bollywood
"In which ground did Kapil Dev complete 400 Test wickets?",Ahmedabad,Kanpur,Madras,Calcutta,Ahmedabad,Cricket
"Who directed the movie 'Gully Boy'?",Zoya Akhtar,Karan Johar,Anurag Kashyap,Imtiaz Ali,Zoya Akhtar,Bollywood
"What is the maximum speed recorded for a cricket ball?",161.3 km/h,175.6 km/h,185.2 km/h,190.4 km/h,161.3 km/h,Cricket
"In which movie did John Abraham play a RAW agent?",Romeo Akbar Walter,Parmanu,Batla House,Satyameva Jayate,Romeo Akbar Walter,Bollywood
"Who was the first Indian to score a Test triple century?",Virender Sehwag,Sachin Tendulkar,Rahul Dravid,Sunil Gavaskar,Virender Sehwag,Cricket
"Which film is based on the book 'The Mahabharata: A Modern Rendering'?",None,Mahabharat,Kurukshetra,None of these,None of these,Bollywood
"In cricket, what does 'stumped' mean?",Run out by wicket-keeper,Bowled out,Caught by wicket-keeper,Hit wicket,Run out by wicket-keeper,Cricket
"Who sang 'Pehla Nasha' from the movie 'Jo Jeeta Wohi Sikandar'?",Udit Narayan,Kumar Sanu,Abhijeet,Sonu Nigam,Udit Narayan,Bollywood
"Which Indian cricketer has scored the most runs in a single IPL season?",Virat Kohli,David Warner,KL Rahul,Chris Gayle,Virat Kohli,Cricket
"In which movie did Hrithik Roshan play a mentally challenged person?",Koi... Mil Gaya,Krrish,Super 30,Guzaarish,Koi... Mil Gaya,Bollywood
"What is the term for the captain choosing to bat or bowl first?",Toss,Choice,Decision,Call,Toss,Cricket
"Which actress won the Filmfare Award for Best Actress for 'Highway'?",Alia Bhatt,Deepika Padukone,Priyanka Chopra,Kangana Ranaut,Alia Bhatt,Bollywood
"Who was the first Indian wicket-keeper to score a Test century?",MS Dhoni,Farokh Engineer,Syed Kirmani,Nayan Mongia,Farokh Engineer,Cricket
"Which film featured the song 'Nagada Sang Dhol'?",Ram-Leela,Bajirao Mastani,Padmaavat,Kalank,Ram-Leela,Bollywood
"In which format of cricket is the Super Over most commonly used?",T20,ODI,Test,All formats,T20,Cricket
"Who directed the movie 'Andhadhun'?",Sriram Raghavan,Anurag Kashyap,Vishal Bhardwaj,Imtiaz Ali,Sriram Raghavan,Bollywood
"Which cricketer has the most fifties in T20 Internationals?",Virat Kohli,Rohit Sharma,David Warner,Babar Azam,Virat Kohli,Cricket
"In which movie did Katrina Kaif play a character named Zoya?",Tiger Zinda Hai,Ek Tha Tiger,Both A and B,Zero,Both A and B,Bollywood
"What is the term for hitting the ball twice in cricket?",Double hit,Repeat hit,Second hit,Multiple hit,Double hit,Cricket
"Which film won the Best Foreign Language Film at Golden Globe 2023?",RRR,The Kashmir Files,Kantara,Brahmastra,RRR,Bollywood
"Who holds the record for fastest ball in cricket?",Shoaib Akhtar,Brett Lee,Jeff Thomson,Shaun Tait,Shoaib Akhtar,Cricket
"Which actor played the role of Gabbar Singh in 'Sholay'?",Amjad Khan,Pran,Ajit,Danny Denzongpa,Amjad Khan,Bollywood
"In cricket, what does 'maiden over' mean?",No runs scored,Six balls bowled,All dots,No runs and no extras,No runs scored,Cricket
"Who sang the song 'Chaiyya Chaiyya'?",Sukhwinder Singh,Udit Narayan,Shankar Mahadevan,A.R. Rahman,Sukhwinder Singh,Bollywood
"Which Indian batsman has the highest strike rate in Test cricket?",Virender Sehwag,Adam Gilchrist,Shahid Afridi,Brendon McCullum,Adam Gilchrist,Cricket
"In which movie did Tabu play a blind character?",Andhadhun,Haider,Maqbool,The Namesake,Andhadhun,Bollywood
"What is the term for a ball bowled outside the batsman's reach?",Wide ball,No ball,Bye,Dead ball,Wide ball,Cricket
"Which film is based on the life of astronaut Rakesh Sharma?",Mission Mangal,Sardar Udham,83,None of these,None of these,Bollywood
"Who was the first Indian cricketer to take 300 wickets in ODIs?",Anil Kumble,Javagal Srinath,Kapil Dev,Zaheer Khan,Anil Kumble,Cricket
"Which actress played the role of Sridevi in the movie 'Mom'?",Sridevi,Nawazuddin Siddiqui,Adnan Siddiqui,Akshaye Khanna,Sridevi,Bollywood
"In cricket, what is the 'crease'?",Batting area,Bowling area,Boundary line,Pitch marking,Batting area,Cricket
"Who composed music for 'Zindagi Na Milegi Dobara'?",Shankar-Ehsaan-Loy,Vishal-Shekhar,A.R. Rahman,Amit Trivedi,Shankar-Ehsaan-Loy,Bollywood
"Which cricketer scored 264 runs in an ODI innings?",Rohit Sharma,Martin Guptill,Virender Sehwag,Chris Gayle,Rohit Sharma,Cricket
"In which movie did Naseeruddin Shah play a Pakistani?",Sarfarosh,A Wednesday,The Dirty Picture,Zindagi Na Milegi Dobara,Sarfarosh,Bollywood
"What is the term for a ball that hits the pad first?",LBW appeal,Pad first,Leg hit,Wicket chance,LBW appeal,Cricket
"Which film featured the song 'Kun Faya Kun'?",Rockstar,Delhi-6,My Name is Khan,Haider,Rockstar,Bollywood
"Who holds the record for most runs in World Cup cricket?",Sachin Tendulkar,Ricky Ponting,Kumar Sangakkara,Mahela Jayawardene,Sachin Tendulkar,Cricket
"Which actor played the role of Ranveer in 'Dil Dhadakne Do'?",Ranveer Singh,Farhan Akhtar,Anil Kapoor,Priyanka Chopra,Ranveer Singh,Bollywood
"In cricket, what does 'clean bowled' mean?",Ball hits stumps directly,Caught behind,LBW,Run out,Ball hits stumps directly,Cricket
"Who sang 'Kabira' from the movie 'Yeh Jawaani Hai Deewani'?",Tochi Raina,Arijit Singh,Rahat Fateh Ali Khan,Mohit Chauhan,Tochi Raina,Bollywood
"Which Indian cricketer has played the most Test matches?",Sachin Tendulkar,Rahul Dravid,Anil Kumble,Kapil Dev,Sachin Tendulkar,Cricket
"In which movie did Irrfan Khan play a father struggling with his son's education?",Hindi Medium,Piku,The Lunchbox,Karwaan,Hindi Medium,Bollywood
"What is the term for dismissing three batsmen with consecutive balls?",Hat-trick,Triple wicket,Three in three,Wicket streak,Hat-trick,Cricket
"Which film won the Filmfare Award for Best Film in 2021?",Thappad,Shakuntala Devi,Scam 1992,The White Tiger,Thappad,Bollywood
"Who was the first Indian cricketer to score 1000 runs in T20Is?",Virat Kohli,Rohit Sharma,Shikhar Dhawan,MS Dhoni,Virat Kohli,Cricket
"Which actress played the title role in 'Shakuntala Devi'?",Vidya Balan,Kangana Ranaut,Tabu,Konkona Sen Sharma,Vidya Balan,Bollywood
"In cricket, what is a 'dolly catch'?",Easy catch,Difficult catch,High catch,Low catch,Easy catch,Cricket
"Who directed the movie 'Tumhari Sulu'?",Suresh Triveni,Vidya Balan,Tanuj Garg,Atul Kulkarni,Suresh Triveni,Bollywood
"Which bowler has the best economy rate in T20 cricket?",Rashid Khan,Sunil Narine,Shakib Al Hasan,Mitchell Santner,Rashid Khan,Cricket
"In which movie did Priyanka Chopra play an autistic girl?",Barfi,My Brother... Nikhil,Kaminey,Mary Kom,Barfi,Bollywood
"What is the maximum number of runs that can be scored in a cricket over?",30,36,42,Unlimited,36,Cricket
"Which film featured the song 'Malhari'?",Bajirao Mastani,Padmaavat,Ram-Leela,Kalank,Bajirao Mastani,Bollywood
"Who holds the record for most wickets taken in a single World Cup?",Mitchell Starc,Trent Boult,Mohammed Shami,Jasprit Bumrah,Mitchell Starc,Cricket
"Which actor played the role of Guru in 'Guru'?",Abhishek Bachchan,Aishwarya Rai,Mithun Chakraborty,R. Madhavan,Abhishek Bachchan,Bollywood
"In cricket, what does 'follow-on' mean?",Batting again immediately,Bowling first,Second innings,Extra overs,Batting again immediately,Cricket
"Who sang 'Tum Hi Ho' from the movie 'Aashiqui 2'?",Arijit Singh,Atif Aslam,Rahat Fateh Ali Khan,Armaan Malik,Arijit Singh,Bollywood
"Which Indian cricketer has the most ducks in international cricket?",Sanath Jayasuriya,MS Dhoni,Shahid Afridi,Muttiah Muralitharan,Sanath Jayasuriya,Cricket
"In which movie did Kangana Ranaut play a Bollywood actress?",Fashion,Gangster,Queen,Simran,Fashion,Bollywood
"What is the term for the square area in the middle of a cricket ground?",Pitch,Square,Wicket,Ground,Pitch,Cricket
"Which film is based on the novel by Chetan Bhagat?",3 Idiots,2 States,Half Girlfriend,All of the above,All of the above,Bollywood
"Who was the first Indian cricketer to score 10000 runs in ODIs?",Sachin Tendulkar,Sourav Ganguly,Mohammed Azharuddin,Rahul Dravid,Sachin Tendulkar,Cricket
"Which actress played the role of Kumari Meera in 'Pad Man'?",Sonam Kapoor,Radhika Apte,Akshay Kumar,All actresses,Sonam Kapoor,Bollywood
"In cricket, what is the 'corridor of uncertainty'?",Area outside off stump,Leg side area,Middle stump line,Yorker length,Area outside off stump,Cricket
"Who composed music for the film 'Haider'?",Vishal Bhardwaj,Ilaiyaraaja,A.R. Rahman,Shankar-Ehsaan-Loy,Vishal Bhardwaj,Bollywood
"Which cricketer has the most centuries in T20 cricket?",Chris Gayle,Rohit Sharma,David Warner,Aaron Finch,Chris Gayle,Cricket
"In which movie did Ayushmann Khurrana play a blind pianist?",Andhadhun,Vicky Donor,Bareilly Ki Barfi,Shubh Mangal Saavdhan,Andhadhun,Bollywood
"What is the term for the fielding position directly behind the batsman?",Wicket-keeper,Long stop,Fine leg,Third man,Wicket-keeper,Cricket
"Which film won the National Film Award for Best Feature Film in 2020?",Marakkar,Jallikattu,The Disciple,Court,Marakkar,Bollywood
"Who holds the record for most runs scored in a single day of Test cricket?",Don Bradman,Brian Lara,Virender Sehwag,Matthew Hayden,Don Bradman,Cricket
"Which actor played the role of Chulbul Pandey?",Salman Khan,Akshay Kumar,Ajay Devgn,John Abraham,Salman Khan,Bollywood
"In cricket, what does 'retired hurt' mean?",Player injured,Player tired,Player dismissed,Player substituted,Player injured,Cricket
"Who sang the song 'Gerua' from 'Dilwale'?",Arijit Singh,Atif Aslam,Rahat Fateh Ali Khan,Antara Mitra,Arijit Singh,Bollywood
"Which Indian spinner has taken the most wickets in T20Is?",Yuzvendra Chahal,Ravindra Jadeja,Kuldeep Yadav,Washington Sundar,Yuzvendra Chahal,Cricket
"In which movie did Deepika Padukone play Leela?",Ram-Leela,Bajirao Mastani,Padmaavat,Piku,Ram-Leela,Bollywood
"What is the maximum number of players that can be on the field for the fielding team?",11,12,13,14,11,Cricket
"Which film featured the song 'Apna Time Aayega'?",Gully Boy,War,Super 30,Dream Girl,Gully Boy,Bollywood
"Who was the first Indian cricketer to take 200 wickets in ODIs?",Kapil Dev,Anil Kumble,Javagal Srinath,Zaheer Khan,Kapil Dev,Cricket
"Which actress played the lead role in 'Raazi'?",Alia Bhatt,Deepika Padukone,Priyanka Chopra,Kangana Ranaut,Alia Bhatt,Bollywood
"In cricket, what is a 'beamer'?",Full toss at head height,Yorker,Bouncer,Slower ball,Full toss at head height,Cricket
"Who directed the web series 'Scam 1992'?",Hansal Mehta,Anurag Kashyap,Vikramaditya Motwane,Zoya Akhtar,Hansal Mehta,Bollywood
"Which cricketer has hit the most fours in international cricket?",Sachin Tendulkar,Kumar Sangakkara,Ricky Ponting,Jacques Kallis,Sachin Tendulkar,Cricket
"In which movie did Randeep Hooda play a villain?",Kick,Sultan,Radhe,Highway,Kick,Bollywood
"What is the term for a cricket match that lasts five days?",Test match,County match,First-class match,Long match,Test match,Cricket
"Which film is based on the surgical strikes by Indian Army?",Uri,Parmanu,Shershaah,Gunjan Saxena,Uri,Bollywood
"Who holds the record for fastest fifty in T20 Internationals?",Yuvraj Singh,Chris Gayle,AB de Villiers,Glenn Maxwell,Yuvraj Singh,Cricket
"Which actress made her Bollywood debut with 'Om Shanti Om'?",Deepika Padukone,Anushka Sharma,Katrina Kaif,Sonam Kapoor,Deepika Padukone,Bollywood
"In cricket, what does 'nightwatchman' mean?",Lower order batsman,Opening batsman,Wicket-keeper,Captain,Lower order batsman,Cricket
"Who sang 'Dil Diyan Gallan' from 'Tiger Zinda Hai'?",Atif Aslam,Arijit Singh,Rahat Fateh Ali Khan,Armaan Malik,Atif Aslam,Bollywood
"Which Indian cricketer has scored the most runs in IPL playoffs?",MS Dhoni,Virat Kohli,Rohit Sharma,Shane Watson,MS Dhoni,Cricket
"In which movie did Shahid Kapoor play a drug addict?",Udta Punjab,Kaminey,Haider,Kabir Singh,Udta Punjab,Bollywood
"What is the term for the area between the pitch and the boundary?",Outfield,Infield,Ground,Field,Outfield,Cricket
"Which film won the Filmfare Award for Best Film in 2019?",Gully Boy,Article 15,Andhadhun,Badhaai Ho,Gully Boy,Bollywood
"Who was the first Indian cricketer to score a century on debut?",Lala Amarnath,Abbas Ali Baig,Hanumant Singh,Pravin Amre,Abbas Ali Baig,Cricket
"Which actor played the role of Bittoo in 'Band Baaja Baaraat'?",Ranveer Singh,Anushka Sharma,Ranbir Kapoor,Arjun Kapoor,Ranveer Singh,Bollywood
"In cricket, what is the 'zone' referring to?",Fielding positions,Batting area,Bowling area,Umpire position,Fielding positions,Cricket
"Who composed music for 'Baahubali'?",M.M. Keeravani,A.R. Rahman,Ilaiyaraaja,Harris Jayaraj,M.M. Keeravani,Bollywood
"Which cricketer has played the most matches as captain for India in Tests?",MS Dhoni,Virat Kohli,Sourav Ganguly,Mohammad Azharuddin,MS Dhoni,Cricket
"In which movie did Jacqueline Fernandez make her Bollywood debut?",Aladin,Murder 2,Housefull 2,Race 2,Aladin,Bollywood
"What is the term for a ball that bounces before reaching the batsman?",Grubber,Yorker,Full toss,Half volley,Grubber,Cricket
"Which film featured the song 'Bom Diggy Diggy'?",Sonu Ke Titu Ki Sweety,Stree,Luka Chuppi,Dream Girl,Sonu Ke Titu Ki Sweety,Bollywood
"Who holds the record for highest individual score in IPL?",Chris Gayle,AB de Villiers,Brendon McCullum,KL Rahul,Chris Gayle,Cricket
"Which actress played the role of Saina Nehwal in her biopic?",Parineeti Chopra,Shraddha Kapoor,Alia Bhatt,Deepika Padukone,Parineeti Chopra,Bollywood
"In cricket, what does 'over the wicket' mean?",Bowling position,Batting position,Fielding position,Umpire position,Bowling position,Cricket
"Who directed the movie 'October'?",Shoojit Sircar,Imtiaz Ali,Anurag Kashyap,Zoya Akhtar,Shoojit Sircar,Bollywood
"Which Indian bowler has the best bowling figures in T20Is?",Deepak Chahar,Bhuvneshwar Kumar,Jasprit Bumrah,Mohammed Shami,Deepak Chahar,Cricket
"In which movie did Tiger Shroff make his debut?",Heropanti,Baaghi,A Flying Jatt,Student of the Year 2,Heropanti,Bollywood
"What is the term for scoring 100 runs in cricket?",Century,Hundred,Ton,All of the above,All of the above,Cricket
"Which film is based on the freedom fighter Udham Singh?",Sardar Udham,The Legend of Bhagat Singh,Rang De Basanti,23rd March 1931: Shaheed,Sardar Udham,Bollywood
"Who was the first Indian cricketer to score 15000 runs in ODIs?",Sachin Tendulkar,MS Dhoni,Virat Kohli,Rohit Sharma,Sachin Tendulkar,Cricket
"Which actress played the lead role in 'Mardaani'?",Rani Mukerji,Vidya Balan,Priyanka Chopra,Kareena Kapoor,Rani Mukerji,Bollywood
"In cricket, what is the 'powerplay'?",Fielding restrictions,Batting restrictions,Bowling restrictions,Time restrictions,Fielding restrictions,Cricket
"Who sang 'Raabta' from the movie 'Agent Vinod'?",Arijit Singh,Shreya Ghoshal,Both A and B,Rahat Fateh Ali Khan,Both A and B,Bollywood
"Which cricketer has the most catches as a fielder in international cricket?",Rahul Dravid,Ricky Ponting,Jacques Kallis,Mahela Jayawardene,Rahul Dravid,Cricket
"In which movie did Kartik Aaryan play Chintu Tyagi?",Pati Patni Aur Woh,Luka Chuppi,Love Aaj Kal,Bhool Bhulaiyaa 2,Pati Patni Aur Woh,Bollywood
"What is the term for the cricket ground's playing surface?",Pitch,Field,Ground,Turf,Pitch,Cricket
"Which film won the National Film Award for Best Feature Film in 2021?",Toolsidas Junior,Soorarai Pottru,The Disciple,Asuran,Soorarai Pottru,Bollywood
"Who holds the record for most runs in T20 World Cup?",Mahela Jayawardene,Chris Gayle,Tillakaratne Dilshan,David Warner,Mahela Jayawardene,Cricket
"Which actor played the role of Arjun Reddy in the Hindi remake?",Shahid Kapoor,Ranveer Singh,Ranbir Kapoor,Varun Dhawan,Shahid Kapoor,Bollywood
"In cricket, what does 'declaration' mean?",Ending innings voluntarily,Starting innings,Changing batting order,Calling off match,Ending innings voluntarily,Cricket
"Who composed music for 'Padmaavat'?",Sanjay Leela Bhansali,A.R. Rahman,Ilaiyaraaja,Shankar-Ehsaan-Loy,Sanjay Leela Bhansali,Bollywood
"Which Indian cricketer has hit the most sixes in Test cricket?",Adam Gilchrist,Brendon McCullum,Chris Cairns,Shahid Afridi,Adam Gilchrist,Cricket
"In which movie did Bhumi Pednekar make her debut?",Dum Laga Ke Haisha,Toilet: Ek Prem Katha,Shubh Mangal Saavdhan,Saand Ki Aankh,Dum Laga Ke Haisha,Bollywood
"What is the maximum height of stumps in cricket?",28 inches,30 inches,32 inches,26 inches,28 inches,Cricket
"Which film featured the song 'Bekhayali'?",Kabir Singh,Gully Boy,Super 30,War,Kabir Singh,Bollywood
"Who was the first bowler to take 500 wickets in Test cricket?",Courtney Walsh,Kapil Dev,Richard Hadlee,Ian Botham,Courtney Walsh,Cricket